sofa_id,name,name_raw,league,country,fs_id,fs_slug,confidence
60,Bournemouth,Bournemouth,Premier League,England,OtpNdwrc,bournemouth,auto
42,Arsenal,Arsenal,Premier League,England,hA1Zm19f,arsenal,auto
40,Aston Villa,Aston Villa,Premier League,England,W00wmLO0,aston-vila,auto
50,Brentford,Brentford,Premier League,England,xYe7DwID,brentford,auto
30,Brighton & Hove Albion,Brighton & Hove Albion,Premier League,England,,,NOT FOUND
38,Chelsea,Chelsea,Premier League,England,4fGZN2oK,chelsea,auto
11,Coventry City,Coventry City,Premier League,England,GOvB22xg,coventry,auto
7,Crystal Palace,Crystal Palace,Premier League,England,AovF1Mia,crystal-palace,auto
48,Everton,Everton,Premier League,England,KluSTr9s,everton,auto
43,Fulham,Fulham,Premier League,England,69ZiU2Om,fulham,auto
96,Hull City,Hull City,Premier League,England,E5OFfojD,hull,auto
32,Ipswich Town,Ipswich Town,Premier League,England,thqhB2MB,ipswich,auto
34,Leeds United,Leeds United,Premier League,England,tUxUbLR2,leeds,auto
44,Liverpool FC,Liverpool FC,Premier League,England,0KuKBKxT,liverpool-m,auto
17,Manchester City,Manchester City,Premier League,England,Wtn9Stg0,manchester-city,auto
35,Manchester United,Manchester United,Premier League,England,ppjDR086,manchester-utd,auto
39,Newcastle United,Newcastle United,Premier League,England,p6ahwuwJ,newcastle-utd,auto
14,Nottingham Forest,Nottingham Forest,Premier League,England,UsushcZr,nottingham,auto
41,Sunderland,Sunderland,Premier League,England,WSzc94ws,sunderland,auto
33,Tottenham Hotspur,Tottenham Hotspur,Premier League,England,UDg08Ohm,tottenham,auto
2825,Athletic Club,Athletic Club,LaLiga,Spain,INXlw5Bp,athletic-club,auto
2836,Atletico Madrid,Atlético Madrid,LaLiga,Spain,M9eddp7L,atletico-madrid,auto
2820,Osasuna,Osasuna,LaLiga,Spain,ETdxjU8a,osasuna,auto
2846,Elche,Elche,LaLiga,Spain,4jl02tPF,elche,auto
2885,Deportivo Alaves,Deportivo Alavés,LaLiga,Spain,hxt57t2q,alaves,auto
2814,Espanyol,Espanyol,LaLiga,Spain,rBhPzPFk,espanyol,auto
2817,FC Barcelona,FC Barcelona,LaLiga,Spain,pCMG6CNp,barcelona-sc,auto
2859,Getafe,Getafe,LaLiga,Spain,dboeiWOt,getafe,auto
2849,Levante UD,Levante UD,LaLiga,Spain,G8FL0ShI,levante,auto
2830,Malaga CF,Málaga CF,LaLiga,Spain,25tIqYiJ,malaga,auto
2835,Real Racing Club,Real Racing Club,LaLiga,Spain,,,NOT FOUND
2818,Rayo Vallecano,Rayo Vallecano,LaLiga,Spain,8bcjFy6O,vallecano,auto
