league,country,club,sofa_id,fs_id,fs_slug,status,checked_by,note,lookup
Premier League,England,Bournemouth,60,OtpNdwrc,bournemouth,verified,v5-marker-position,verified (25 players matched),
Premier League,England,Arsenal,42,hA1Zm19f,arsenal,verified,v5-marker-position,verified (25 players matched),
Premier League,England,Aston Villa,40,W00wmLO0,aston-villa,verified,v5-marker-position,verified (33 players matched),
Premier League,England,Brentford,50,xYe7DwID,brentford,verified,v5-marker-position,verified (23 players matched),
Premier League,England,Brighton & Hove Albion,30,2XrRecc3,brighton,verified,v5-marker-position,verified (22 players matched),
Premier League,England,Chelsea,38,4fGZN2oK,chelsea,verified,v5-marker-position,verified (30 players matched),
Premier League,England,Coventry City,11,GOvB22xg,coventry,verified,v5-marker-position,verified (23 players matched),
Premier League,England,Crystal Palace,7,AovF1Mia,crystal-palace,verified,v5-marker-position,verified (35 players matched),
Premier League,England,Everton,48,KluSTr9s,everton,verified,v5-marker-position,verified (27 players matched),
Premier League,England,Fulham,43,69ZiU2Om,fulham,verified,v5-marker-position,verified (19 players matched),
Premier League,England,Hull City,96,S66R0t75,hull-city,verified,v5-marker-position,verified (27 players matched),
Premier League,England,Ipswich Town,32,thqhB2MB,ipswich,verified,v5-marker-position,verified (23 players matched),
Premier League,England,Leeds United,34,tUxUbLR2,leeds,verified,v5-marker-position,verified (26 players matched),
Premier League,England,Liverpool FC,44,lId4TMwf,liverpool,verified,v5-marker-position,verified (30 players matched),
Premier League,England,Manchester City,17,Wtn9Stg0,manchester-city,verified,v5-marker-position,verified (23 players matched),
Premier League,England,Manchester United,35,ppjDR086,manchester-united,verified,v5-marker-position,verified (37 players matched),
Premier League,England,Newcastle United,39,p6ahwuwJ,newcastle-utd,verified,v5-marker-position,verified (29 players matched),
Premier League,England,Nottingham Forest,14,UsushcZr,nottingham,verified,v5-marker-position,verified (28 players matched),
Premier League,England,Sunderland,41,WSzc94ws,sunderland,verified,v5-marker-position,verified (30 players matched),
Premier League,England,Tottenham Hotspur,33,UDg08Ohm,tottenham,verified,v5-marker-position,verified (38 players matched),
LaLiga,Spain,Athletic Club,2825,IP5zl0cJ,ath-bilbao,verified,v5-marker-position,verified (32 players matched),
LaLiga,Spain,Atletico Madrid,2836,jaarqpLQ,atl-madrid,verified,v5-marker-position,verified (23 players matched),
LaLiga,Spain,Osasuna,2820,ETdxjU8a,osasuna,verified,v5-marker-position,verified (22 players matched),
LaLiga,Spain,Elche,2846,4jl02tPF,elche,verified,v5-marker-position,verified (25 players matched),
LaLiga,Spain,Deportivo Alaves,2885,hxt57t2q,alaves,verified,v5-marker-position,verified (19 players matched),
LaLiga,Spain,Espanyol,2814,QFfPdh1J,espanyol,verified,v5-marker-position,verified (22 players matched),
LaLiga,Spain,FC Barcelona,2817,SKbpVP5K,barcelona,verified,v5-marker-position,verified (25 players matched),
LaLiga,Spain,Getafe,2859,dboeiWOt,getafe,verified,v5-marker-position,verified (23 players matched),
LaLiga,Spain,Levante UD,2849,G8FL0ShI,levante,verified,v5-marker-position,verified (27 players matched),
LaLiga,Spain,Malaga CF,2830,25tIqYiJ,malaga,verified,v5-marker-position,verified (22 players matched),
LaLiga,Spain,Real Racing Club,2835,nVpEwOrl,racing-santander,verified,v5-marker-position,verified (20 players matched),
LaLiga,Spain,Rayo Vallecano,2818,8bcjFy6O,rayo-vallecano,verified,v5-marker-position,verified (25 players matched),
LaLiga,Spain,Celta Vigo,2821,8pvUZFhf,celta-vigo,verified,v5-marker-position,verified (27 players matched),
LaLiga,Spain,Deportivo de A Coruna,2832,Q51ZzMS6,dep-a-coruna,verified,v5-marker-position,verified (29 players matched),
LaLiga,Spain,Real Betis,2816,vJbTeCGP,betis,verified,v5-marker-position,verified (26 players matched),
LaLiga,Spain,Real Madrid,2829,W8mj7MDD,real-madrid,verified,v5-marker-position,verified (28 players matched),
LaLiga,Spain,Real Sociedad,2824,jNvak2f3,real-sociedad,verified,v5-marker-position,verified (34 players matched),
LaLiga,Spain,Sevilla,2833,h8oAv4Ts,sevilla,verified,v5-marker-position,verified (22 players matched),
LaLiga,Spain,Valencia,2828,CQeaytrD,valencia,verified,v5-marker-position,verified (23 players matched),
LaLiga,Spain,Villarreal,2819,lUatW5jE,villarreal,verified,v5-marker-position,verified (24 players matched),
