Name,Position,Club,Country of the club,_league,_source
Ben Winterburn,Pomocnik,Bournemouth,Anglia,Premier League,sofascore
Zac Christie,Pomocnik,Bournemouth,Anglia,Premier League,sofascore
Max Aarons,Obrońca,Bournemouth,Anglia,Premier League,sofascore
Matai Akinmboni,Obrońca,Bournemouth,Anglia,Premier League,sofascore
Harold William,Obrońca,Bournemouth,Anglia,Premier League,sofascore
Ethan Nwaneri,Pomocnik,Arsenal,Anglia,Premier League,sofascore
Fabio Vieira,Pomocnik,Arsenal,Anglia,Premier League,sofascore
Reiss Nelson,Pomocnik,Arsenal,Anglia,Premier League,sofascore
Gabriel Magalhaes,Obrońca,Arsenal,Anglia,Premier League,sofascore
Evann Guessand,Napastnik,Aston Villa,Anglia,Premier League,sofascore
Luka Lynch,Napastnik,Aston Villa,Anglia,Premier League,sofascore
Boubacar Kamara,Pomocnik,Aston Villa,Anglia,Premier League,sofascore
Jamaldeen Jimoh,Pomocnik,Aston Villa,Anglia,Premier League,sofascore
Bradley Burrowes,Pomocnik,Aston Villa,Anglia,Premier League,sofascore
Modou Keba Cisse,Obrońca,Aston Villa,Anglia,Premier League,flashscore~fuzzy
Fabio Carvalho,Napastnik,Brentford,Anglia,Premier League,sofascore
Gustavo Nunes,Napastnik,Brentford,Anglia,Premier League,sofascore
Yehor Yarmoliuk,Pomocnik,Brentford,Anglia,Premier League,sofascore
Antoni Milambo,Pomocnik,Brentford,Anglia,Premier League,sofascore
Yunus Konak,Pomocnik,Brentford,Anglia,Premier League,sofascore
Nathan Collins,Obrońca,Brentford,Anglia,Premier League,flashscore~fuzzy
Kim Ji-Soo,Obrońca,Brentford,Anglia,Premier League,sofascore
Benjamin Fredrick,Obrońca,Brentford,Anglia,Premier League,sofascore
Jayden Meghoma,Obrońca,Brentford,Anglia,Premier League,sofascore
Benjamin Arthur,Obrońca,Brentford,Anglia,Premier League,sofascore
Evan Ferguson,Napastnik,Brighton & Hove Albion,Anglia,Premier League,sofascore
Stefanos Tzimas,Napastnik,Brighton & Hove Albion,Anglia,Premier League,sofascore
Facundo Buonanotte,Pomocnik,Brighton & Hove Albion,Anglia,Premier League,sofascore
Ibrahim Osman,Pomocnik,Brighton & Hove Albion,Anglia,Premier League,sofascore
Malick Yalcouye,Pomocnik,Brighton & Hove Albion,Anglia,Premier League,sofascore
Amario Cozier-Duberry,Pomocnik,Brighton & Hove Albion,Anglia,Premier League,sofascore
Tom Watson,Pomocnik,Brighton & Hove Albion,Anglia,Premier League,sofascore
Lewis Dunk,Obrońca,Brighton & Hove Albion,Anglia,Premier League,sofascore
Igor Julio,Obrońca,Brighton & Hove Albion,Anglia,Premier League,sofascore
Eiran Cashin,Obrońca,Brighton & Hove Albion,Anglia,Premier League,sofascore
Nicolas Jackson,Napastnik,Chelsea,Anglia,Premier League,sofascore
David Datro Fofana,Napastnik,Chelsea,Anglia,Premier League,sofascore
Mykhailo Mudryk,Pomocnik,Chelsea,Anglia,Premier League,sofascore
Aaron Anselmino,Obrońca,Chelsea,Anglia,Premier League,sofascore
Axel Disasi,Obrońca,Chelsea,Anglia,Premier League,sofascore
Caleb Wiley,Obrońca,Chelsea,Anglia,Premier League,sofascore
Denner,Obrońca,Chelsea,Anglia,Premier League,sofascore
Kai Andrews,Pomocnik,Coventry City,Anglia,Premier League,sofascore
Raphael Rodrigues,Pomocnik,Coventry City,Anglia,Premier League,sofascore
Harri Laidler,Pomocnik,Coventry City,Anglia,Premier League,sofascore
Miguel Angel Brau,Obrońca,Coventry City,Anglia,Premier League,flashscore~fuzzy
